Scopus-10-Analyze-Year

"Your query : ((TITLE-ABS-KEY(salt Or sodium OR Na)) AND (TITLE-ABS-KEY(""BP""OR ""Blood pressure""OR""hypertension""OR""high blood pressure""OR""systolic"")) AND (TITLE-ABS-KEY(""ultra-processed food"" OR ""ultra-processed foods"" OR ""ultraprocessed food"" OR ""ultraprocessed foods"" OR ""ultra-processed product"" OR ""ultra-processed products"" OR ""ultra-processing"" OR ""food processing"" OR ""processed food"" OR ""processed foods"" OR ""NOVA"" OR ""NOVA system"" OR ""NOVA food classification"" OR ""NOVA classification system"")) AND ( EXCLUDE ( SUBJAREA,""BIOC"" ) OR EXCLUDE ( SUBJAREA,""PHAR"" ) OR EXCLUDE ( SUBJAREA,""AGRI"" ) OR EXCLUDE ( SUBJAREA,""EART"" ) OR EXCLUDE ( SUBJAREA,""VETE"" ) OR EXCLUDE ( SUBJAREA,""MATE"" ) OR EXCLUDE ( SUBJAREA,""PHYS"" ) OR EXCLUDE ( SUBJAREA,""CHEM"" ) OR EXCLUDE ( SUBJAREA,""ENER"" ) OR EXCLUDE ( SUBJAREA,""ENVI"" ) ) )"


Number of results : 10

"YEAR",
"2023","16"
"2022","26"
"2021","20"
"2020","20"
"2019","20"
"2018","17"
"2017","19"
"2016","17"
"2015","24"
"2014","19"
"2013","19"
"2012","15"
"2011","15"
"2010","24"
"2009","13"
"2008","11"
"2007","11"
"2006","5"
"2005","8"
"2004","5"
"2003","9"
"2002","7"
"2001","4"
"2000","1"
"1999","2"
"1998","1"
"1997","3"
"1996","5"
"1994","2"
"1991","6"
"1990","2"
"1989","1"
"1988","2"
"1986","1"
"1985","1"
"1984","3"
"1983","3"
"1980","3"
"1979","1"
"1975","1"
"1973","1"
"1968","2"
