null

"Your query : (SUBJAREA(MEDI OR SOCI) (TITLE-ABS-KEY(""BP""OR ""Blood pressure""OR""hypertension""OR""high blood pressure""OR""systolic"")) AND ((TITLE-ABS-KEY(salt Or sodium OR Na)) OR (TITLE-ABS-KEY(""ultra-processed food"" OR ""ultra-processed foods"" OR ""ultraprocessed food"" OR ""ultraprocessed foods"" OR ""ultra-processed product"" OR ""ultra-processed products"" OR ""ultra-processing"" OR ""food processing"" OR ""processed food"" OR ""processed foods"" OR ""NOVA"" OR ""NOVA system"" OR ""NOVA food classification"" OR ""NOVA classification system""))) AND (TITLE-ABS-KEY((""primary research""OR""cohort study""OR""odds ratio""OR""cross-sectional study"")AND(""human""))))"


Number of results : 4688

,
"National Heart, Lung, and Blood Institute","266"
"National Institutes of Health","254"
"National Natural Science Foundation of China","139"
"National Institute of Diabetes and Digestive and Kidney Diseases","136"
"National Center for Research Resources","89"
"Japan Society for the Promotion of Science","85"
"National Center for Advancing Translational Sciences","79"
"Medical Research Council","76"
"National Institute on Aging","57"
"Conselho Nacional de Desenvolvimento Científico e Tecnológico","51"
"Canadian Institutes of Health Research","50"
"AstraZeneca","48"
"National Cancer Institute","43"
"Boehringer Ingelheim","42"
"National Institute of General Medical Sciences","42"
"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","39"
"National Key Research and Development Program of China","39"
"American Heart Association","37"
"National Health and Medical Research Council","35"
"Ministry of Education, Culture, Sports, Science and Technology","33"
"Novo Nordisk","32"
"Novartis","31"
"National Institute for Health Research","29"
"National Research Foundation of Korea","29"
"British Heart Foundation","27"
"European Commission","27"
"National Institute of Neurological Disorders and Stroke","27"
"Sanofi","27"
"Eli Lilly and Company","23"
"Amgen","22"
"GlaxoSmithKline","22"
"Wellcome Trust","22"
"Centers for Disease Control and Prevention","21"
"Eunice Kennedy Shriver National Institute of Child Health and Human Development","21"
"Ministry of Science and Technology, Taiwan","21"
"U.S. Department of Health and Human Services","21"
"Fogarty International Center","19"
"Medtronic","19"
"Pfizer","19"
"World Health Organization","19"
"Deutsche Forschungsgemeinschaft","18"
"Instituto de Salud Carlos III","18"
"Fundação de Amparo à Pesquisa do Estado de São Paulo","17"
"Ministry of Health, Labour and Welfare","17"
"Ministry of Health and Welfare","16"
"National Institute on Minority Health and Health Disparities","16"
"Seventh Framework Programme","16"
"Japan Agency for Medical Research and Development","15"
"National Institute for Health and Care Research","15"
"Roche","15"
"U.S. Department of Veterans Affairs","15"
"Bayer","14"
"European Regional Development Fund","14"
"Merck","14"
"Heart and Stroke Foundation of Canada","13"
"Horizon 2020 Framework Programme","13"
"Merck Sharp and Dohme","13"
"Ministério da Saúde","13"
"National Institute of Child Health and Human Development","13"
"Bundesministerium für Bildung und Forschung","12"
"Institut National de la Santé et de la Recherche Médicale","12"
"Nierstichting","12"
"Novo Nordisk Fonden","12"
"Servier","12"
"Tehran University of Medical Sciences and Health Services","12"
"Abbott Laboratories","11"
"Bristol-Myers Squibb","11"
"Indian Council of Medical Research","11"
"National Heart Foundation of Australia","11"
"National Institute of Environmental Health Sciences","11"
"Ontario Ministry of Health and Long-Term Care","11"
"Takeda Pharmaceutical Company","11"
"Fundação de Amparo à Pesquisa do Estado de Minas Gerais","10"
"National Institute of Arthritis and Musculoskeletal and Skin Diseases","10"
"National Institute of Mental Health","10"
"U.S. Public Health Service","10"
"Chinese Center for Disease Control and Prevention","9"
"Health Services Research and Development","9"
"Johns Hopkins University","9"
"Ministry of Science and Technology of the People's Republic of China","9"
"Ministry of Science, ICT and Future Planning","9"
"National Health and Family Planning Commission of the People's Republic of China","9"
"National Institute of Nursing Research","9"
"Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","9"
"U.S. National Library of Medicine","9"
"AbbVie","8"
"Agency for Healthcare Research and Quality","8"
"Australian Research Council","8"
"Daiichi-Sankyo","8"
"European Research Council","8"
"Financiadora de Estudos e Projetos","8"
"Fonds de Recherche du Québec - Santé","8"
"Fundação para a Ciência e a Tecnologia","8"
"Horizon 2020","8"
"Meso Scale Diagnostics","8"
"Ministry of Education","8"
"National Heart and Lung Institute","8"
"Robert Wood Johnson Foundation","8"
"South African Medical Research Council","8"
"Taipei Veterans General Hospital","8"
"Academy of Finland","7"
"Astellas Pharma","7"
"Astellas Pharma US","7"
"Beijing Municipal Science and Technology Commission","7"
"Doris Duke Charitable Foundation","7"
"Michigan Institute for Clinical and Health Research","7"
"Ministeriet Sundhed Forebyggelse","7"
"Mitsubishi Tanabe Pharma Corporation","7"
"NIHR Imperial Biomedical Research Centre","7"
"National Health Research Institutes","7"
"National Human Genome Research Institute","7"
"National Science Council","7"
"National Taiwan University Hospital","7"
"Natural Science Foundation of Guangdong Province","7"
"Sigrid Juséliuksen Säätiö","7"
"Sydäntutkimussäätiö","7"
"University of Maryland","7"
"Vetenskapsrådet","7"
"Chang Gung Memorial Hospital","6"
"China-Japan Friendship Hospital","6"
"Department of Science and Technology, Ministry of Science and Technology, India","6"
"Gilead Sciences","6"
"Institute for Clinical Evaluative Sciences","6"
"Korea Centers for Disease Control and Prevention","6"
"Korea Health Industry Development Institute","6"
"National Eye Institute","6"
"National Institute of Allergy and Infectious Diseases","6"
"National Research Foundation","6"
"Nederlandse Organisatie voor Wetenschappelijk Onderzoek","6"
"Ono Pharmaceutical","6"
"Peking University","6"
"Shahid Beheshti University of Medical Sciences","6"
"University of Illinois at Chicago","6"
"Akademi Sains Malaysia","5"
"Bayer Fund","5"
"Centers for Medicare and Medicaid Services","5"
"China Scholarship Council","5"
"Chinese University of Hong Kong","5"
"Economic and Social Research Council","5"
"Fondo Nacional de Desarrollo Científico y Tecnológico","5"
"Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro","5"
"Health Resources and Services Administration","5"
"Hjärt-Lungfonden","5"
"Isfahan University of Medical Sciences","5"
"Janssen Pharmaceuticals","5"
"Johnson and Johnson","5"
"Karolinska Institutet","5"
"Kementerian Kesihatan Malaysia","5"
"McGill University","5"
"Ministerio de Sanidad, Consumo y Bienestar Social","5"
"Ministry of Education of the People's Republic of China","5"
"Ministry of Health of the People's Republic of China","5"
"Ministry of Science and ICT, South Korea","5"
