Scopus-4688-Analyze-Source

"Your query : (SUBJAREA(MEDI OR SOCI) (TITLE-ABS-KEY(""BP""OR ""Blood pressure""OR""hypertension""OR""high blood pressure""OR""systolic"")) AND ((TITLE-ABS-KEY(salt Or sodium OR Na)) OR (TITLE-ABS-KEY(""ultra-processed food"" OR ""ultra-processed foods"" OR ""ultraprocessed food"" OR ""ultraprocessed foods"" OR ""ultra-processed product"" OR ""ultra-processed products"" OR ""ultra-processing"" OR ""food processing"" OR ""processed food"" OR ""processed foods"" OR ""NOVA"" OR ""NOVA system"" OR ""NOVA food classification"" OR ""NOVA classification system""))) AND (TITLE-ABS-KEY((""primary research""OR""cohort study""OR""odds ratio""OR""cross-sectional study"")AND(""human""))))"


Number of results : 4688

"SOURCE TITLE",
"Hypertension","109"
"Journal Of Hypertension","94"
"American Journal Of Hypertension","88"
"Arquivos Brasileiros De Cardiologia","74"
"Hypertension Research","73"
"Journal Of Human Hypertension","71"
"Journal Of Clinical Hypertension","65"
"BMJ Open","56"
"Nutrition Metabolism And Cardiovascular Diseases","43"
"International Journal Of Environmental Research And Public Health","40"
"American Journal Of Clinical Nutrition","39"
"Medicine United States","39"
"Frontiers In Endocrinology","36"
"BMC Cardiovascular Disorders","30"
"Journal Of Clinical Medicine","30"
"American Journal Of Kidney Diseases","29"
"Journal Of The American Heart Association","29"
"BMC Public Health","27"
"Clinical And Experimental Hypertension","27"
"Circulation","26"
"Public Health Nutrition","26"
"British Journal Of Nutrition","24"
"Cardiovascular Diabetology","24"
"Ciencia E Saude Coletiva","24"
"International Journal Of Cardiology","24"
"Journal Of Clinical Endocrinology And Metabolism","23"
"Nephrology Dialysis Transplantation","23"
"Diabetes Therapy","22"
"Diabetes Obesity And Metabolism","21"
"European Journal Of Nutrition","21"
"Clinical Journal Of The American Society Of Nephrology","20"
"International Journal Of Hypertension","20"
"Blood Pressure","19"
"European Journal Of Clinical Nutrition","19"
"Frontiers In Cardiovascular Medicine","19"
"Nutrition Journal","19"
"Cadernos De Saude Publica","18"
"Clinical Nutrition Espen","18"
"Diabetes Research And Clinical Practice","18"
"Journal Of Nutrition","18"
"BMC Nephrology","17"
"Esc Heart Failure","17"
"Indian Journal Of Public Health Research And Development","17"
"Journal Of Diabetes And Its Complications","17"
"Journal Of Nephrology","17"
"Journal Of The American College Of Cardiology","17"
"Kidney International","17"
"Stroke","17"
"Journal Of The American Society Of Nephrology","16"
"Revista Portuguesa De Cardiologia","16"
"BMJ Open Diabetes Research And Care","15"
"Journal Of The American Society Of Hypertension","15"
"American Journal Of Epidemiology","14"
"American Journal Of Medicine","14"
"American Journal Of Nephrology","14"
"Blood Purification","14"
"Diabetes Care","14"
"Diabetic Medicine","14"
"International Journal Of General Medicine","14"
"Journal Of Cardiac Failure","14"
"Journal Of Diabetes Investigation","14"
"Revista Brasileira De Epidemiologia","14"
"Asia Pacific Journal Of Clinical Nutrition","13"
"Clinical And Experimental Nephrology","13"
"European Journal Of Preventive Cardiology","13"
"Frontiers In Medicine","13"
"JAMA Network Open","13"
"Renal Failure","13"
"Vojnosanitetski Pregled","13"
"American Journal Of Cardiology","12"
"Archives Of Internal Medicine","12"
"Clinical Endocrinology","12"
"Journal Of General Internal Medicine","12"
"Kidney Research And Clinical Practice","12"
"Lancet","12"
"Neurocritical Care","12"
"Nutrition","12"
"Circulation Journal","11"
"Current Hypertension Reports","11"
"Diabetes And Metabolic Syndrome Clinical Research And Reviews","11"
"Ethnicity And Disease","11"
"European Heart Journal","11"
