Scopus-4688-Analyze-Year

"Your query : (SUBJAREA(MEDI OR SOCI) (TITLE-ABS-KEY(""BP""OR ""Blood pressure""OR""hypertension""OR""high blood pressure""OR""systolic"")) AND ((TITLE-ABS-KEY(salt Or sodium OR Na)) OR (TITLE-ABS-KEY(""ultra-processed food"" OR ""ultra-processed foods"" OR ""ultraprocessed food"" OR ""ultraprocessed foods"" OR ""ultra-processed product"" OR ""ultra-processed products"" OR ""ultra-processing"" OR ""food processing"" OR ""processed food"" OR ""processed foods"" OR ""NOVA"" OR ""NOVA system"" OR ""NOVA food classification"" OR ""NOVA classification system""))) AND (TITLE-ABS-KEY((""primary research""OR""cohort study""OR""odds ratio""OR""cross-sectional study"")AND(""human""))))"


Number of results : 4688

"YEAR",
"2023","204"
"2022","627"
"2021","604"
"2020","410"
"2019","297"
"2018","242"
"2017","240"
"2016","237"
"2015","213"
"2014","209"
"2013","187"
"2012","153"
"2011","139"
"2010","99"
"2009","99"
"2008","81"
"2007","70"
"2006","73"
"2005","54"
"2004","51"
"2003","42"
"2002","49"
"2001","34"
"2000","30"
"1999","27"
"1998","16"
"1997","28"
"1996","23"
"1995","21"
"1994","15"
"1993","16"
"1992","16"
"1991","17"
"1990","12"
"1989","10"
"1988","6"
"1987","4"
"1986","3"
"1985","5"
"1984","13"
"1983","4"
"1982","4"
"1981","2"
"1980","1"
"1979","1"
