serial	cardno50	dayno	daywk	howfeel
11002	50	1	5	2
11002	50	2	6	2
11002	50	3	7	3
11002	50	4	1	2
11003	50	1	3	2
11003	50	2	4	2
11003	50	3	5	2
11003	50	4	6	2
11005	50	1	1	2
11005	50	2	2	2
11005	50	3	3	2
11005	50	4	4	2
11007	50	1	6	2
11007	50	2	7	2
11007	50	3	1	2
11007	50	4	2	2
11008	50	1	3	2
11008	50	2	4	2
11008	50	3	5	2
11008	50	4	6	2
11010	50	1	5	2
11010	50	2	6	2
11010	50	3	7	2
11010	50	4	1	2
11011	50	1	1	2
11011	50	2	2	2
11011	50	3	3	2
11011	50	4	4	2
11012	50	1	6	2
11012	50	2	7	1
11012	50	3	1	2
11012	50	4	2	2
11013	50	1	6	2
11013	50	2	7	2
11013	50	3	1	2
11013	50	4	2	2
11014	50	1	3	2
11014	50	2	4	2
11014	50	3	5	2
11014	50	4	6	2
11017	50	1	2	2
11017	50	2	3	2
11017	50	3	4	2
11017	50	4	5	2
11019	50	1	4	2
11019	50	2	5	2
11019	50	3	6	2
11019	50	4	7	2
11022	50	1	5	2
11022	50	2	6	2
11022	50	3	7	2
11022	50	4	1	2
11023	50	1	6	2
11023	50	2	7	2
11023	50	3	1	2
11023	50	4	2	2
11024	50	1	7	2
11024	50	2	1	2
11024	50	3	2	2
11024	50	4	3	2
11025	50	1	3	2
11025	50	2	4	1
11025	50	3	5	2
11025	50	4	6	2
11026	50	1	4	2
11026	50	2	5	2
11029	50	1	3	2
11029	50	2	4	3
11029	50	3	5	3
11029	50	4	6	2
11032	50	1	5	2
11032	50	2	6	2
11032	50	3	7	2
11032	50	4	1	2
11033	50	1	4	2
11033	50	2	5	2
11033	50	3	6	2
11033	50	4	7	2
11035	50	1	3	2
11035	50	2	4	2
11035	50	3	5	2
11035	50	4	6	2
11036	50	1	3	2
11036	50	2	4	2
11036	50	3	5	2
11036	50	4	6	2
11039	50	1	4	2
11039	50	2	5	2
11039	50	3	6	2
11039	50	4	7	2
11041	50	1	4	2
11041	50	2	5	2
11041	50	3	6	2
11041	50	4	7	2
11042	50	1	6	2
11042	50	2	7	2
11042	50	3	1	2
11042	50	4	2	2
11045	50	1	3	2
11045	50	2	4	2
11045	50	3	5	2
11045	50	4	6	2
11047	50	1	7	1
