serial	weight
51001	.504
51002	.504
51003	.952
51005	.978
51006	.978
51007	1.22
51008	1.247
51009	1.508
51010	1.079
51013	.398
51014	.494
51015	.481
51016	.948
51017	1.221
51018	2.015
51020	.278
51021	.534
51023	.693
51024	.966
51025	1.501
51026	1.967
51027	1.273
51028	1.273
51029	.272
51030	.399
51031	.529
51034	1.016
51035	1.308
51036	1.308
51037	1.279
51038	2.158
51039	1.582
51040	.405
51041	.405
51042	.503
51043	.503
51044	.976
51045	.967
51046	1.217
51047	1.244
51049	1.077
51050	2.053
51051	.539
51052	.475
51053	.698
51054	1.337
51055	1.984
51056	3.314
51057	1.284
51058	.417
51059	.475
51060	.539
51061	.698
51062	1.337
51064	1.984
51065	1.984
51066	3.314
51067	1.79
51068	1.79
51070	.262
51071	.464
51072	.494
51073	.494
51074	.948
51075	1.194
51076	.93
51077	.93
51078	1.194
51079	1.477
51080	1.477
51081	.278
51082	.534
51083	.855
51084	.626
51087	1.501
51088	1.246
51089	1.501
51090	1.154
51091	1.273
51092	.966
51093	.235
51094	.405
51095	.49
51096	.503
51097	.49
51098	.49
51099	1.217
51100	.95
51101	2.053
51102	1.505
51103	.417
51104	.539
51105	.538
51107	.645
51108	1.514
51109	1.514
51110	1.984
51111	1.256
51112	1.79
51113	.256
51114	.485
51115	.498
51116	1.158
51117	.966
51118	.956
51119	1.204
51120	1.231
51121	1.065
51122	.319
51123	.28
51125	.539
51127	.698
51128	.645
51129	1.355
51130	1.514
51131	1.337
51132	1.164
51133	1.404
51134	.534
51135	.626
51136	.693
51137	.693
51138	.966
51139	1.246
51141	.278
51142	.533
51143	.728
51144	.693
51145	.693
51146	.855
51147	1.73
51148	1.343
51149	1.967
51150	1.154
51151	1.392
51152	.966
51153	.539
51154	.475
51155	.475
51156	.698
51158	.698
51159	.863
51160	1.355
51161	1.355
51162	1.514
51163	1.984
51164	1.514
51165	1.79
51166	1.284
51167	1.284
51168	.539
51169	.475
51170	.539
51171	.863
51172	.28
51173	.975
51174	1.514
51175	1.256
51176	1.79
51177	1.79
51178	3.314
51179	.28
51181	.539
51182	.735
51183	.863
51184	.698
51185	.863
51186	1.355
51187	1.984
51188	1.984
51189	1.404
51192	.252
51193	.475
51194	.488
51195	.597
51196	.92
51197	1.207
51198	1.181
51199	1.333
51200	1.461
51201	1.461
51202	1.461
51204	.393
51205	.393
51206	.488
51207	.597
51208	.938
51209	1.993
51210	1.181
51211	1.181
51212	1.207
51213	1.993
51214	1.461
51215	1.461
51216	1.045
52217	.202
52218	.202
52219	.863
52220	.452
52221	1.602
52222	.452
52223	1.602
52224	1.602
52225	.64
52226	1.602
52227	.377
52228	2.069
52230	.795
52231	3.034
52232	.943
52233	.943
52234	.202
52236	.943
52237	1.602
52238	.64
52239	.825
52241	3.034
52242	.298
52243	.902
52244	.357
52245	3.034
52246	2.064
52247	.91
52248	1.652
52249	1.652
52250	.708
52251	.258
52253	3.034
52254	1.652
61001	.235
61002	.406
61003	.406
61005	.504
61006	.831
61007	.978
61008	1.247
61009	1.079
61010	1.079
61012	2.057
61013	.23
61014	.398
61015	.464
61018	1.375
61019	1.221
61020	1.194
61021	1.194
61022	.728
61023	.693
61025	1.343
61026	1.73
61027	.966
61028	1.967
61029	1.501
61030	1.774
61031	.247
61032	.397
61033	.529
61034	.529
61035	1.473
61036	1.308
61037	1.279
61038	1.443
61039	1.443
61040	1.132
61041	.235
61042	.829
61043	.503
61044	.235
61045	.967
61047	1.244
61049	.948
61050	1.077
61051	2.053
61052	2.053
61053	.735
61054	.698
61056	1.337
61057	.975
61058	1.984
61059	1.79
61061	1.79
61063	.488
61064	.597
61067	1.181
61068	1.181
61069	1.181
61070	1.461
61071	1.461
61072	1.045
61073	.254
61074	.464
61076	.494
61077	.494
61078	.948
61080	.93
61081	1.221
61083	.534
61084	.693
61085	1.246
61086	1.967
61087	1.967
61088	1.246
61089	1.273
61090	.259
61091	.405
61092	.473
61094	.503
61095	.976
61096	.95
61098	1.244
61101	1.355
61102	.645
61103	1.745
61104	1.514
61105	1.404
61106	.228
61107	.228
61110	.805
61112	.597
61113	1.207
61114	1.181
61115	1.207
61116	1.333
61117	.401
61118	.498
61119	.609
61120	1.158
61121	1.387
61122	1.231
61123	1.359
61125	.297
61126	.38
61127	.491
61128	.504
61129	.491
61130	1.173
61131	.969
61132	.978
61133	1.247
61134	1.22
61135	1.22
61136	1.508
61137	1.508
61138	.262
61139	.371
61141	.481
61142	.948
61143	1.221
61144	2.015
61145	1.057
61146	.235
61147	.379
61148	.405
61149	.473
61150	.503
61151	.503
61152	1.171
61153	.967
61154	.976
61155	1.401
61156	1.217
61157	1.244
61158	1.401
61159	1.505
61160	1.373
61161	2.053
61162	.967
61163	.365
61165	.539
61166	.632
61169	1.79
