serial	cardno49	day49	mon49	year49	weekday	std1	std2	std3
11002	49	27	10	1994	Thu	1	1	2
11003	49	4	10	1994	Tue	1	1	2
11005	49	30	10	1994	Sun	1	1	2
11007	49	7	10	1994	Fri	1	2	2
11008	49	4	10	1994	Tue	2	1	2
11010	49	6	10	1994	Thu	1	2	2
11011	49	16	10	1994	Sun	1	2	2
11012	49	7	10	1994	Fri	1	1	2
11013	49	7	10	1994	Fri	1	2	2
11014	49	1	11	1994	Tue	1	2	2
11017	49	31	10	1994	Mon	1	2	2
11019	49	19	10	1994	Wed	2	2	2
11022	49	20	10	1994	Thu	1	2	2
11023	49	14	10	1994	Fri	1	2	2
11024	49	8	10	1994	Sat	1	2	2
11025	49	18	10	1994	Tue	1	1	2
11026	49	5	10	1994	Wed	1	2	2
11029	49	11	10	1994	Tue	1	1	2
11032	49	6	10	1994	Thu	1	1	2
11033	49	5	10	1994	Wed	1	2	2
11035	49	1	11	1994	Tue	1	1	2
11036	49	8	11	1994	Tue	1	1	2
11039	49	26	10	1994	Wed	1	2	2
11041	49	26	10	1994	Wed	1	2	2
11042	49	4	11	1994	Fri	1	1	2
11045	49	1	11	1994	Tue	1	1	2
11047	49	8	10	1994	Sat	1	2	2
11049	49	20	10	1994	Thu	1	2	2
11050	49	24	10	1994	Mon	1	2	2
11051	49	7	10	1994	Fri	1	1	2
11052	49	16	10	1994	Sun	1	1	2
11055	49	29	11	1904	Tue	1	2	2
11056	49	4	12	1994	Sun	1	1	2
11062	49	26	10	1994	Wed	1	2	2
11063	49	15	11	1994	Tue	1	2	2
11064	49	22	10	1994	Sat	1	2	2
11067	49	25	10	1994	Tue	1	2	2
11069	49	15	11	1994	Tue	1	2	2
11070	49	15	11	1994	Tue	1	2	2
11071	49	22	10	1994	Sat	1	1	2
11075	49	30	10	1994	Sun	2	2	2
11076	49	15	10	1994	Sat	2	1	2
11077	49	15	10	1994	Sat	2	1	2
11078	49	29	11	1994	Tue	1	2	2
11080	49	22	10	1994	Sat	1	2	2
11084	49	22	10	1994	Sat	1	2	2
11085	49	14	11	1994	Mon	1	2	2
11086	49	2	10	1994	Sun	1	2	2
11089	49	2	11	1994	Wed	1	1	2
11091	49	6	10	1994	Thu	1	2	2
11092	49	3	11	1994	Thu	1	1	2
11093	49	15	11	1994	Tue	1	2	2
11096	49	27	10	1994	Thu	1	1	2
11097	49	16	11	1994	Wed	1	1	2
11098	49	7	11	1994	Mon	1	2	2
11099	49	15	10	1994	Sat	1	2	2
11101	49	9	11	1994	Wed	1	2	2
11102	49	28	10	1994	Fri	1	2	2
11103	49	30	11	1994	Wed	1	2	2
11106	49	2	10	1994	Sun	1	2	2
11107	49	8	11	1994	Tue	1	1	2
11109	49	6	11	1994	Sun	1	2	2
11111	49	18	10	1994	Tue	1	2	2
11112	49	14	11	1994	Mon	1	2	2
11115	49	18	10	1994	Tue	1	2	2
11116	49	27	10	1994	Thu	1	1	2
11117	49	19	10	1994	Wed	1	2	2
11119	49	6	10	1994	Thu	1	1	2
11122	49	12	10	1994	Wed	1	2	2
11123	49	15	10	1994	Sat	1	1	2
11124	49	6	10	1994	Thu	1	1	2
11125	49	22	11	1994	Tue	1	2	2
11127	49	19	10	1994	Wed	1	1	2
11129	49	11	10	1994	Tue	1	1	2
11130	49	15	10	1994	Sat	1	2	2
11131	49	18	10	1994	Tue	1	2	2
11132	49	12	11	1994	Sat	1	2	2
11133	49	8	11	1994	Tue	1	1	2
11135	49	21	10	1994	Fri	1	1	2
11137	49	18	10	1994	Tue	1	2	2
11138	49	22	10	1994	Sat	1	2	2
11141	49	25	10	1994	Tue	1	2	2
11148	49	4	11	1994	Fri	1	2	2
11149	49	14	12	1994	Wed	1	2	2
11150	49	18	10	1994	Tue	1	2	2
11151	49	25	10	1994	Tue	2	2	2
11154	49	3	11	1994	Thu	1	1	2
11155	49	27	10	1994	Thu	1	2	2
11156	49	2	11	1994	Wed	1	2	2
11158	49	19	10	1994	Wed	1	1	2
11160	49	5	11	1994	Sat	1	1	2
11161	49	14	11	1994	Mon	1	1	2
11164	49	25	11	1994	Fri	1	2	2
11165	49	26	11	1994	Sat	1	1	2
11166	49	3	11	1994	Thu	1	2	2
11170	49	25	11	1994	Fri	1	1	2
11172	49	6	12	1994	Tue	1	2	1
11173	49	4	12	1994	Sun	1	2	1
11176	49	12	12	1994	Mon	1	1	2
11178	49	23	11	1994	Wed	1	1	2
11179	49	31	10	1994	Mon	1	2	1
11180	49	16	10	1994	Sun	1	1	2
11183	49	24	11	1994	Thu	1	1	2
11185	49	2	11	1994	Wed	1	1	2
11186	49	13	10	1994	Thu	1	1	2
11187	49	21	11	1994	Mon	1	1	2
11188	49	1	11	1994	Tue	1	1	2
11189	49	26	10	1994	Wed	1	2	2
11190	49	12	10	1994	Wed	1	1	2
11201	49	27	10	1994	Thu	1	1	2
11202	49	20	10	1994	Thu	1	1	2
11204	49	8	10	1994	Sat	1	1	2
11205	49	2	10	1994	Sun	1	1	2
11207	49	6	10	1994	Thu	1	1	2
11209	49	6	10	1994	Thu	1	1	2
11210	49	11	10	1994	Tue	1	2	2
11211	49	18	10	1994	Tue	2	1	1
11213	49	12	10	1994	Wed	1	2	2
11214	49	20	10	1994	Thu	1	1	2
11216	49	6	10	1994	Thu	1	1	2
11217	49	18	10	1994	Tue	1	1	2
11218	49	7	10	1994	Fri	1	1	1
11219	49	6	10	1994	Thu	1	1	1
11220	49	15	11	1994	Tue	1	1	2
11221	49	22	10	1994	Sat	1	2	2
11227	49	21	10	1994	Fri	1	2	2
11228	49	4	11	1994	Fri	1	2	2
11229	49	1	11	1994	Tue	2	2	2
11231	49	4	11	1994	Fri	1	2	2
11232	49	11	10	1994	Tue	2	2	2
11233	49	14	10	1994	Fri	1	2	2
11236	49	11	10	1994	Tue	1	1	2
11237	49	18	10	1994	Tue	1	2	2
11238	49	9	10	1994	Sun	1	1	2
11239	49	5	10	1994	Wed	2	2	2
11240	49	27	10	1994	Thu	1	2	2
11242	49	25	10	1994	Tue	1	1	2
11243	49	26	10	1994	Wed	1	2	2
11244	49	27	10	1994	Thu	1	2	2
11247	49	3	11	1994	Thu	1	2	2
11248	49	19	10	1994	Wed	1	1	2
11250	49	13	10	1994	Thu	1	1	2
11252	49	25	10	1994	Tue	1	2	2
11255	49	23	10	1994	Sun	1	2	2
11256	49	25	10	1994	Tue	1	1	2
11258	49	18	10	1994	Tue	1	1	2
11264	49	12	10	1994	Wed	1	2	2
11266	49	19	10	1994	Wed	1	1	2
11268	49	19	10	1994	Wed	2	2	2
11269	49	1	11	1994	Tue	1	1	2
11270	49	16	10	1994	Sun	1	2	2
11271	49	1	11	1994	Tue	1	1	2
11273	49	10	11	1994	Thu	1	2	2
11274	49	26	10	1994	Wed	1	2	2
11277	49	1	11	1994	Tue	1	2	2
11282	49	25	10	1994	Tue	1	1	2
11283	49	1	11	1994	Tue	1	2	1
11284	49	28	10	1994	Fri	1	2	1
11289	49	25	10	1994	Tue	2	2	2
11290	49	11	10	1994	Tue	1	1	2
11291	49	10	11	1994	Thu	1	1	2
11292	49	11	10	1994	Tue	1	1	2
11293	49	13	11	1994	Sun	1	1	2
11296	49	10	11	1994	Thu	1	1	2
11297	49	26	10	1994	Wed	1	2	2
11298	49	30	10	1994	Sun	1	2	2
11300	49	7	11	1994	Mon	1	1	2
11304	49	26	10	1994	Wed	1	2	2
11306	49	5	10	1994	Wed	1	2	2
11307	49	5	10	1994	Wed	1	2	2
11308	49	4	11	1994	Fri	1	1	2
11309	49	29	10	1994	Sat	1	2	2
11312	49	11	10	1994	Tue	1	1	2
11313	49	12	10	1994	Wed	1	1	2
11314	49	22	11	1994	Tue	1	1	2
11315	49	7	10	1994	Fri	1	1	2
11317	49	6	10	1994	Thu	1	1	2
11319	49	1	11	1994	Tue	2	1	2
11320	49	6	10	1994	Thu	1	1	2
11322	49	29	10	1994	Sat	1	1	2
11323	49	1	11	1994	Tue	1	2	2
11324	49	23	10	1994	Sun	1	1	2
11325	49	1	11	1994	Tue	1	1	2
11329	49	4	11	1994	Fri	1	2	2
11331	49	12	11	1994	Sat	1	1	2
11335	49	24	11	1994	Thu	1	2	2
11336	49	5	11	1994	Sat	1	1	2
11339	49	3	11	1994	Thu	1	1	2
11340	49	29	10	1994	Sat	1	1	2
11344	49	20	10	1994	Thu	1	2	2
11345	49	18	10	1994	Tue	1	2	2
11346	49	12	10	1994	Wed	1	1	2
11347	49	2	11	1994	Wed	2	1	2
11349	49	19	10	1994	Wed	1	1	2
11350	49	31	10	1994	Mon	1	1	1
11351	49	18	10	1994	Tue	1	1	2
11354	49	25	10	1994	Tue	1	2	2
11356	49	26	10	1994	Wed	1	2	2
11359	49	19	10	1994	Wed	1	1	2
11360	49	18	10	1994	Tue	1	2	2
11361	49	10	11	1994	Thu	1	2	2
11362	49	15	10	1994	Sat	1	1	2
11363	49	12	11	1994	Sat	1	1	2
11364	49	18	10	1994	Tue	1	2	2
11365	49	8	10	1994	Sat	1	1	2
11366	49	21	10	1994	Fri	1	2	2
11370	49	6	10	1994	Thu	1	2	2
11372	49	11	10	1994	Tue	2	1	2
11373	49	24	10	1994	Mon	1	1	2
11374	49	13	10	1994	Thu	2	1	2
11381	49	27	10	1994	Thu	2	2	2
11382	49	15	10	1994	Sat	1	2	2
11383	49	29	10	1994	Sat	1	1	2
11386	49	20	10	1994	Thu	2	2	2
11388	49	16	10	1994	Sun	1	2	2
11389	49	14	11	1994	Mon	1	1	2
11391	49	4	10	1994	Tue	1	1	2
11392	49	4	10	1994	Tue	1	2	2
11393	49	9	10	1994	Sun	1	2	2
11394	49	10	10	1994	Mon	1	1	2
11395	49	4	10	1994	Tue	1	2	2
11397	49	4	10	1994	Tue	1	2	2
11399	49	2	11	1994	Wed	1	1	2
11400	49	9	10	1994	Sun	2	1	2
11401	49	26	10	1994	Wed	1	1	2
11402	49	18	10	1994	Tue	1	1	2
11406	49	24	10	1994	Mon	1	1	1
11407	49	29	10	1994	Sat	1	2	2
11408	49	14	10	1994	Fri	1	1	2
11411	49	20	10	1994	Thu	1	1	2
11412	49	3	11	1994	Thu	1	2	2
11413	49	30	10	1994	Sun	1	2	2
11414	49	14	10	1994	Fri	1	2	2
11415	49	29	10	1994	Sat	1	1	2
11416	49	19	10	1994	Wed	1	1	2
11417	49	15	10	1994	Sat	1	2	2
11418	49	19	10	1994	Wed	1	1	2
11419	49	7	10	1994	Fri	1	2	2
11420	49	7	10	1994	Fri	1	1	2
11421	49	22	10	1994	Sat	1	2	2
11422	49	17	11	1994	Thu	1	1	1
11424	49	9	11	1994	Wed	1	2	2
11426	49	19	10	1994	Wed	1	2	2
11428	49	31	10	1994	Mon	1	1	2
11429	49	15	10	1994	Sat	1	1	1
11430	49	11	10	1994	Tue	1	1	2
11431	49	8	10	1994	Sat	1	1	2
11434	49	17	10	1994	Mon	1	1	2
11435	49	19	10	1994	Wed	1	1	2
11436	49	11	11	1994	Fri	1	2	2
11437	49	6	10	1994	Thu	1	1	2
11438	49	13	10	1994	Thu	1	2	2
11440	49	11	11	1994	Fri	1	1	2
11441	49	15	11	1994	Tue	1	1	2
11442	49	11	11	1994	Fri	2	2	1
11443	49	5	11	1994	Sat	1	1	2
11445	49	29	10	1994	Sat	1	1	2
11446	49	9	11	1994	Wed	1	1	1
11449	49	4	10	1994	Tue	1	2	2
11451	49	18	10	1994	Tue	1	1	2
11452	49	24	11	1994	Thu	1	1	1
11454	49	5	10	1994	Wed	1	1	2
11457	49	21	10	1994	Fri	1	2	2
11458	49	20	10	1994	Thu	1	1	2
11459	49	19	11	1994	Sat	1	1	2
11461	49	23	11	1994	Wed	1	1	2
11462	49	13	11	1994	Sun	1	1	2
11463	49	17	11	1994	Thu	1	1	2
11465	49	13	11	1994	Sun	1	2	2
11466	49	17	11	1994	Thu	2	2	1
11467	49	21	11	1994	Mon	1	2	1
11468	49	11	11	1994	Fri	1	1	2
11472	49	1	11	1994	Tue	1	1	2
11473	49	27	10	1994	Thu	1	1	2
11475	49	29	10	1994	Sat	1	2	1
11476	49	3	11	1994	Thu	1	1	2
11480	49	27	10	1994	Thu	2	1	1
11482	49	20	11	1994	Sun	1	1	2
