serial	prewt	an25s1	an25s2	an25s3	an25s4	an25s5	an25s6	an25s7	an25s8	an25s9	an25s10	an25s11	an25s12	an25s13	an25s14	an25s15	an25s16	an25s17	an25s18	an25s19	an25s20	an25s21	an25s22	an25s23	an25s24	an25s25	an25s26	an25s27	an25s28	an25s29	an25s30	an25s31	an25s32	an25s33	an25s34	an25s35	an25s36	an25s37	an25s38	an25s39	an25s40	an25s41	an25s42	an25s43	an25s44	an25s45	an25s46	an25s47	an25s48	an25s49	an25s50	an25s51	an25s52	an25s53	an25s54	an25s55	an25s56	an25s57	an25s58	an25s59	an25s60	an25s61	an25s62	an25s63	an25s64	an25s65	an25s66	an25s67	an25s68	an25s69	an25s70	an25s71	an25s72	an25s73	an25s74	an25s75	an25s76	an25s77	an25s78	an25s79	an25s80	an25s81	an25s82	an25s83	an25s84	an25s85	an25s86	an25s87	an25s88	an25s89	an25s90	an25s91	an25s92	an25s93	an25s94	an25s95	an25s96	an25s97	an25s98	an25s99	an25s100	an25s101	an25s102	an25s103	an25s104	an25s105	an25s106	an25s107
11002	.406	0	0	0	0	.1223	0	0	.0255	0	0	.0519	0	.1362	0	0	0	0	0	0	0	0	0	.0028	0	0	0	0	0	0	.0019	0	0	0	0	0	.0016	0	0	0	.0275	.0644	.0075	0	0	.0199	0	0	0	0	0	0	0	0	0	0	0	0	0	.0075	0	.0045	.0005	0	0	0	0	0	0	.1071	0	.0203	.002	.0185	0	0	0	0	.0729	.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0218	.0279	0	0	0	0	.022	.0023	0	0	0	0	0
11003	.504	0	0	0	0	.025	.1785	0	0	.0403	.0079	.1089	0	.288	0	0	0	0	0	0	0	0	0	.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0081	.0087	0	0	0	.0566	0	0	0	0	.0329	.0144	0	0	0	0	0	.0014	0	0	0	0	0	0	.0078	.0059	.0638	0	0	.0708	0	.0039	.0016	0	0	0	.0093	.0361	.015	.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0252	.0941	0	0	0	0	.1364	.003	0	0	0	0	0
11005	.504	.0252	0	0	.0016	.1403	0	0	0	0	.0443	.0359	.0403	.0383	0	0	0	0	0	0	.0003	.0281	0	.0013	0	0	0	0	.02	0	0	0	0	0	0	0	0	0	0	0	.0054	0	.0284	.0443	0	0	0	0	0	.071	0	.023	0	0	0	0	0	0	.0243	0	.0138	0	0	0	0	0	.0108	0	0	.0313	0	0	0	0	0	0	0	0	.1422	.0024	0	0	.031	0	0	0	0	0	0	0	0	0	0	0	0	.0015	.1478	0	0	0	0	0	.0018	0	0	0	0	0
11007	.952	0	0	0	0	.2411	0	0	0	0	.0085	.0713	0	.0147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0046	.0075	0	0	0	0	0	0	0	.032	.0311	0	0	0	0	0	0	0	0	0	0	0	0	.0016	0	0	0	0	0	0	.0011	.0006	0	0	0	0	.0119	0	.0084	.0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0584	0	0	0	0	0	.0017	0	0	0	0	0
11008	1.404	0	0	0	0	.0549	0	0	0	.162	0	.0209	0	.0086	0	0	0	0	0	0	0	0	0	.0038	0	0	0	.0055	0	0	.0028	0	0	0	0	0	0	0	0	0	0	.0139	0	0	0	.0575	0	0	0	0	0	.0261	0	0	0	0	0	0	0	0	0	0	0	0	0	.0174	.045	0	0	.0805	0	.0126	.0031	.0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0057	0	0	0	0	0	0	.017	0	0	0	0	0	.1269	.0035	0	0	0	0	0
11010	1.404	0	0	0	0	.0156	0	0	.1005	.0504	.0144	.0228	0	.197	0	0	.0197	0	0	0	0	0	0	.0145	0	0	0	.0055	.01	0	0	0	0	0	.0024	0	0	0	0	0	.0117	.0185	0	0	0	0	0	0	0	.0275	0	.0043	0	0	0	0	0	0	.0042	0	0	0	0	0	0	.0029	.0385	0	0	.0368	.0079	.0184	.0068	0	0	0	0	0	0	.0031	0	0	.0147	0	0	0	0	0	.005	0	0	0	0	0	0	0	.0649	0	0	0	0	.0359	0	0	0	0	0	0
11011	.978	0	0	0	0	.0056	0	0	.264	.0294	0	.0315	0	.024	0	0	.0251	0	0	0	0	0	0	.017	0	0	0	0	.01	0	.0011	0	0	0	0	0	.0005	0	0	0	.0096	.014	0	0	0	0	0	.0111	0	0	0	0	0	.0103	0	0	0	0	0	0	0	.0024	0	0	.021	.0045	.1897	0	0	.018	0	.015	0	.025	0	0	0	0	0	.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0912	0	0	0	0	.0746	.0038	0	0	0	0	0
11012	.978	0	0	.077	0	.1104	0	0	.0961	.1553	0	.0135	.0135	.0678	0	0	0	0	0	0	0	.0025	0	0	0	0	0	0	.0347	0	.0006	0	0	.0168	0	0	0	0	0	0	.0105	.019	0	.0162	.0056	.0519	0	0	.0193	0	0	0	0	0	0	.0046	0	.0034	0	0	0	.0121	0	0	0	.019	0	0	0	.0621	0	.0125	.0114	0	0	0	0	0	.0066	.0006	0	0	0	0	0	0	0	0	0	.0074	0	0	0	0	0	.0031	.0358	0	0	0	0	.0456	0	0	0	0	0	0
11013	1.22	0	0	0	0	0	0	.4502	0	0	.0069	.0314	0	0	.0504	0	0	0	0	0	0	0	0	0	0	0	0	0	.042	0	0	0	0	0	.0276	0	0	0	0	0	.0476	0	0	.032	0	0	0	.0228	0	0	.0775	0	0	0	0	0	.0001	.0015	0	0	0	.0096	0	.0014	0	.0259	.0638	0	0	.0882	0	0	0	0	0	.0119	0	0	0	.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1045	0	0	0	0	.0278	0	0	0	0	0	0
11014	1.22	0	0	0	0	.0819	.0761	0	0	.0576	0	.0203	.0225	.1349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.0222	0	0	0	0	0	0	0	0	0	0	0	.0063	0	0	.0214	0	0	0	.0228	0	.016	.0225	.0142	0	.0026	0	0	0	.0022	0	0	0	0	.0015	0	0	0	.0633	0	0	.0126	0	.0112	0	.0135	0	0	0	0	0	.0026	0	0	.0312	0	0	0	0	0	0	0	0	0	0	0	0	0	.1173	0	0	0	0	0	0	0	0	0	0	0
