fcode	fsubgrp	fname	bunit	diarym	unitfo	dilfac	maxw	nut1	nut2	nut3	nut4	nut5	nut6	nut7	nut8	nut9	nut10	nut11	nut12	nut13	nut14	nut15	nut16	nut17	nut18	nut19	nut20	nut21	nut22	nut23	nut24	nut25	nut26	nut27	nut28	nut29	nut30	nut31	nut32	nut33	nut34	nut35	nut36	nut37	nut38	nut39	nut40	nut41	nut42	nut43	nut44	nut45	nut46	nut47	nut48	nut49	nut50	nut51	nut52	nut53	nut54	nut55
1	1R	ARROWROOT POWDER	100	1	GRAMS	1	1	12.2	0	94	.1	355	1515	.4	.1	94	0	5	18	7	8	27	2	.22	0	7	2.5	0	0	0	0	0	.1	0	0	0	0	0	0	0	.02	.03	0	.05	0	0	0	0	0	0	0	0	.1	.47	0	0	0	0	2	0	0	.07
2	1R	PEARL BARLEY WHI	100	1	GRAMS	1	1	10.6	0	83.6	5.9	360	1535	7.9	1.7	83.6	0	3	270	20	65	210	3	.4	2.1	110	7	0	0	0	.12	.05	4.8	0	.4	.2	0	20	.5	0	.29	.14	.07	.7	0	0	0	0	0	0	0	0	10.2	1.3	0	0	0	0	3	0	0	1.35
3	1R	BARLEY PEARL WHI	100	1	GRAMS	1	200	69.6	0	27.6	2	120	510	2.7	.6	27.6	0	1	92	7	22	71	1	.14	.7	41	2.3	0	0	0	.02	.01	1.3	0	.1	0	0	3	.1	0	.1	.05	.03	.25	0	0	0	0	0	0	0	0	3.5	.44	0	0	0	0	1	0	0	.46
4	1R	BARLEY WHOLE GRA	100	1	GRAMS	1	1	11.7	1.8	62.2	5.8	301	1282	10.6	2.1	64	0	4	560	50	91	380	6	.3	3.3	23	7	0	0	0	.31	.1	7.8	0	.9	.6	0	50	.7	10	.53	.25	.11	1.15	0	0	.1	1	.1	0	.5	0	14.8	1.7	0	0	0	0	6	0	1.8	1.81
5	1R	BARLEY WHOLEGRAI	100	1	GRAMS	1	200	58.5	.6	20.7	1.9	100	426	3.5	.7	21.3	0	1	187	17	30	127	2	.1	1.1	8	2	0	0	0	.1	.03	2.6	0	.3	.2	0	17	.2	3	.18	.08	.04	.38	0	0	0	.3	0	0	.2	0	4.9	.57	0	0	0	0	2.6	0	.6	.6
6	1R	BEMAX WHEATGERM	100	1	GRAMS	1	30	11.7	16	28.7	8.1	357	1465	26.7	9.2	44.7	0	5	950	55	270	1050	8.5	.9	17	80	1	0	0	0	2.01	.72	9.8	0	22	3.3	0	331	1.9	25	1.31	1.04	.26	3.83	0	0	.7	14.8	.5	0	0	0	15.6	12.3	0	0	0	0	8.5	0	16	4.57
7	1R	BRAN WHEAT	100	1	GRAMS	1	30	8.3	3.8	23	39.6	206	872	14.1	5.5	26.8	0	28	1160	110	520	1200	12.9	1.34	16.2	150	.6	0	0	0	.89	.36	32.6	0	2.6	1.4	0	260	2.4	45	.93	.73	.18	2.68	0	0	.2	3.5	.1	0	.1	0	36.4	9	0	0	0	0	12.9	0	3.8	2.23
8	1R	CORNFLOUR	100	1	GRAMS	1	1	12.5	0	92	.1	354	1508	.6	.7	92	0	52	61	15	7	39	1.4	.13	.3	71	3	0	0	0	0	0	0	0	0	0	0	0	0	0	.11	.2	.01	.33	0	0	0	0	0	0	0	0	.1	0	0	0	0	0	1.4	0	0	.09
9	1R	CORNMEAL SIFTED	100	1	GRAMS	1	1	12.2	0	80.4	4.4	369	1568	9.4	3.3	80.4	0	0	170	3	44	120	1.3	.15	1	12	3	0	24	0	.26	.08	2	3	0	.4	0	1	.7	6	.53	1.27	.05	1.24	0	0	0	0	0	0	0	0	2.2	.2	5	0	38	0	1.3	0	0	1.5
10	1R	CORN MEAL UNSIFT	100	1	GRAMS	1	1	12.2	0	80.4	8.5	373	1585	9.3	3.8	80.4	0	1	280	17	44	220	4.2	.15	1	12	3	0	24	0	.3	.08	2.8	3	0	.4	0	1	.7	6	.61	1.46	.06	1.43	0	0	0	0	0	0	0	0	4.3	.2	5	0	38	0	4.2	0	0	1.48
11	1R	CUSTARD POWDER	100	1	GRAMS	1	1	12.5	0	92	.5	354	1508	.6	.7	92	0	320	61	15	7	39	1.4	.05	.3	480	2.5	0	0	0	0	0	.1	0	0	0	0	0	0	0	.11	.2	.01	.33	0	0	0	0	0	0	0	0	.1	0	0	0	0	0	1.4	0	0	.09
12	1R	FLOUR BROWN (85%	100	1	GRAMS	1	1	14	1.7	66.8	7	323	1377	12.6	1.8	68.5	0	4	250	130	80	230	3.2	.32	1.9	45	10	0	0	0	.39	.07	6.6	0	.6	.3	0	51	.4	3	.28	.21	.06	.83	0	0	.5	.7	.5	0	0	0	6.4	1.9	0	0	0	0	3.2	0	1.7	2.21
13	1R	FLOUR CHAPATI BR	100	1	GRAMS	1	1	12.2	3.2	70.5	10.3	333	1419	11.5	1.2	73.7	0	39	280	86	69	250	3.4	.33	2.1	67	10	0	0	0	.26	.05	6.2	0	.5	.3	0	29	.4	3	.19	.14	.04	.56	0	0	.9	1.3	.9	0	0	0	6.4	2	0	0	0	0	3.4	0	3.2	2.01
14	1R	FLOUR CHAPATI WH	100	1	GRAMS	1	1	12	2.1	75.5	4.1	335	1426	9.8	.5	77.6	0	15	200	84	29	140	2.5	.25	1.3	68	10	0	0	0	.36	.06	3.9	0	2.3	.2	0	20	.3	1	.06	.05	.01	.19	0	0	.6	.9	.6	0	0	0	3.1	.98	0	0	0	0	2.5	0	2.1	1.71
15	1R	FLOUR WHITE HOUS	100	1	GRAMS	1	1	14	1.5	76.2	3.6	341	1450	9.4	1.3	77.7	0	3	150	140	20	110	2	.15	.6	81	10	0	0	0	.31	.03	3.6	0	.3	.2	0	22	.3	1	.16	.13	.03	.5	0	0	.5	.3	.5	0	.2	0	3.1	.6	0	0	0	0	2	0	1.5	1.64
16	1R	FLOUR WHITE SELF	100	1	GRAMS	1	1	14	1.3	74.3	4.1	330	1407	8.9	1.2	75.6	0	360	150	350	20	450	2	.17	.6	88	10	0	0	0	.3	.03	3.3	0	.3	.2	0	19	.3	1	.15	.12	.03	.5	0	0	.6	.2	.5	0	0	0	3.1	.62	0	0	0	0	2	0	1.3	1.56
17	1B	FLOUR RICE	100	1	GRAMS	1	1	11.8	0	88.1	.6	363	1548	6.4	.8	88.1	0	5	240	24	23	130	1.9	.2	1.3	0	14	0	0	0	.1	.05	3.5	0	.4	.2	0	29	.6	3	.18	.2	0	.28	0	0	0	0	0	0	0	0	2	4.01	0	0	0	0	1.9	0	0	1.07
18	1R	RYE FLOUR (100%)	100	1	GRAMS	1	1	15	0	75.9	5.7	335	1428	8.2	2	75.9	0	1	410	32	92	360	2.7	.42	3	32	7.2	0	0	0	.4	.22	2.6	0	1.6	.4	0	78	1	6	.27	.21	.13	.82	0	0	0	0	0	0	0	0	11.7	.68	0	0	0	0	2.7	0	0	1.4
19	1R	SOYA FLOUR FULL	100	1	GRAMS	1	1	7	11.2	12.3	10.7	447	1871	36.8	23.5	23.5	0	9	1660	210	240	600	6.9	2.92	3.9	110	.8	0	0	0	.75	.28	10.6	0	1.5	.5	0	345	1.6	.1	2.73	3.35	10.7	1.4	0	0	3.6	3.3	0	0	0	4.3	11.2	2.3	0	0	0	0	6.9	0	11.2	6.45
20	1R	SOYA FLOUR LOW F	100	1	GRAMS	1	1	7	13.4	14.8	13.3	352	1488	45.3	7.2	28.2	0	14	2030	240	290	640	9.1	3.12	3.2	106	.8	0	0	0	.9	.29	13	0	.5	.5	0	410	1.8	.1	.85	1.04	3.32	.43	0	0	4.3	4	0	0	0	5.1	13.5	2.9	0	0	0	0	9.1	0	13.4	7.94
21	1R	FLOUR WHITE 72%	100	1	GRAMS	1	1	14	1.4	73.9	3.7	341	1451	11.5	1.4	75.3	0	3	130	140	31	120	2.1	.18	.9	62	10	0	0	0	.32	.03	4.3	0	.3	.1	0	31	.3	1	.18	.15	.03	.57	0	0	.6	.3	.5	0	0	0	3.1	.68	0	0	0	0	2.1	0	1.4	2.01
