wave	rownum	serial	area	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7
1	29	51001L	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51002M	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1
1	29	51003N	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51005Q	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51006R	1	2	2	2	2	0	0	0	0	0	0	2	2	2	2
1	29	51007S	1	2	0	0	0	0	0	0	0	0	0	2	2	2	0
1	29	51008T	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51009V	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1
1	29	51010W	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51013Z	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51014A	8	1	1	1	1	0	0	0	0	0	0	0	0	1	1
1	29	51015B	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51016C	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51017D	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51018E	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51020G	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51021H	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51023K	9	0	0	1	0	0	0	0	0	0	0	1	1	1	0
1	29	51024L	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51025M	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51026N	9	1	0	1	1	0	0	0	0	0	0	0	0	0	1
1	29	51027P	9	1	1	1	0	0	0	0	0	0	0	0	1	1	1
1	29	51028Q	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51029R	16	2	2	2	2	0	0	0	0	0	0	1	0	2	2
1	29	51030S	16	2	2	2	2	2	2	2	2	2	2	2	2	2	2
