wave	rownum	serial	area	lr8dist	lr8mes	lr7dist	lr7mes	lr6dist	lr6mes	lr5dist	lr5mes	lr4dist	lr4mes	lr3dist	lr3mes	lr2dist	lr2mes	lr1dist	lr1mes	ll1mes	ll1dist	ll2mes	ll2dist	ll3mes	ll3dist	ll4mes	ll4dist	ll5mes	ll5dist	ll6mes	ll6dist	ll7mes	ll7dist	ll8mes	ll8dist
1	36	51001L	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51002M	1	0	0	-	-	-	-	-	-	0	0	0	1	0	0	1	0	-	-	0	0	0	0	-	-	-	-	-	-	-	-	-	-
1	36	51003N	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51005Q	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51006R	1	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-
1	36	51007S	1	-	-	-	-	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	0	0	-	-
1	36	51008T	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51009V	1	-	-	-	-	-	-	1	0	2	2	2	2	-	-	-	-	-	-	-	-	0	1	0	1	-	-	-	-	-	-	-	-
1	36	51010W	1	-	-	1	2	-	-	0	1	3	2	3	1	2	3	9	9	2	2	1	1	2	3	-	-	1	1	2	2	2	1	-	-
1	36	51013Z	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51014A	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51015B	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51016C	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51017D	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51018E	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51020G	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51021H	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51023K	9	-	-	0	0	-	-	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	-	-	-	-	-	-	0	0	0	0
1	36	51024L	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51025M	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	36	51026N	9	0	0	-	-	-	-	-	-	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	1	1	1	1	1	-	-	0	0
1	36	51027P	9	-	-	-	-	-	-	-	-	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	-	-	-	-	-	-	-	-
1	36	51028Q	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
