wave	rownum	serial	area	upd1	lpd1	upd2	lpd2	upd3	lpd3	upd4	lpd4	upd5	lpd5	upd6	lpd6	upd7	lpd7	upd8	lpd8	ever	ucd1	lcd1	ucd2	lcd2	ucd3	lcd3	cd4	ucd5	lcd5	defu1	defl1	defu2	defl2	defu3	defl3	cd6	cd7	ucd8	lcd8	ucd9	lcd9	ucd10	lcd10	ucd11	lcd11	cd12	cd13
1	39	51001L	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	1	1	2	1	1	1	1	2	1	2	1	1
1	39	51002M	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51003N	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	1	2	1	1	1	1	2	2	2	1
1	39	51005Q	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	1	1	1	2	1	1	1	2	1	1	2	2
1	39	51006R	1	0	1	 	1	 	1	 	1	 	0	 	2	 	3	 	2	0	1	0	1	 	1	 	1	1	 	0	0	0	0	0	0	3	 	1	 	1	 	1	 	1	 	1	1
1	39	51007S	1	1	0	1	 	1	 	3	 	1	 	3	 	3	 	2	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51008T	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	2	1	1	1	1	1	1	1	1	1	1
1	39	51009V	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	1	 	1	 	 	2	 	0	 	0	 	1	 	3	 	1	 	1	 	2	 	2	 	1	1
1	39	51010W	1	1	0	1	 	1	 	1	 	1	 	1	 	1	 	1	 	1	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51013Z	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	2	1	2	1	2	2
1	39	51014A	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51015B	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	1	1	2	2	1	1	1	2	1	2
1	39	51016C	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	1	 	1	 	9	1	 	0	 	0	 	0	 	3	9	1	 	1	 	1	 	1	 	9	9
1	39	51017D	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	3	1	1	1	2	1	1	1	1	1	1	1
1	39	51018E	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	0	1	2	0	0	0	0	0	0	1	1	1	1	2	2	1	1	1	2	2	1
1	39	51020G	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	2	2	1
1	39	51021H	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	3	2
1	39	51023K	9	1	0	1	 	1	 	1	 	1	 	3	 	3	 	2	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51024L	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1
1	39	51025M	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	0	2	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51026N	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51027P	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	1	 	1	 	1	1	 	0	 	0	 	0	 	3	 	1	 	1	 	1	 	1	 	1	1
1	39	51028Q	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	2	2	1
1	39	51029R	16	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51030S	16	0	1	 	0	 	0	 	4	 	1	 	1	 	1	 	1	0	1	0	1	 	1	 	1	1	 	0	 	0	 	0	 	1	 	1	 	1	 	1	 	1	 	1	1
1	39	51031T	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51034X	16	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51035Y	16	1	0	0	0	1	 	4	 	4	 	1	 	1	 	1	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51036Z	16	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51037A	16	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51038B	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51039C	16	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51040D	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	2	1	1	1	1	1	1	1	1
1	39	51041E	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1
