wave	rownum	serial	area	mp1a	imp1b	imp1c	imp1d	imp1e	imp2a	imp2b	imp2c	imp2d	imp2e	imp3a	imp3b	imp3c	imp3d	imp3e	imp4a	imp4b	imp4c	imp4d	imp4e	imp5a	imp5b	imp5c	imp5d	imp5e	imp6a	imp6b	imp6c	imp6d	imp6e	imp7a	imp7b	imp7c	imp7d	imp7e	impma	impmb	impmc	impmd	impme	impsa	impsb	impsc	impsd	impse	impea	impeb	eat1	eat2	eat3	fd1	fd2	fd3	fd4	fd5	fd6	fd7	fd8	fd9	fd10	fd11	fd12	fd13	fd14	fd15	fd16	eatsum	eatsoft
1	4	51114J	48	1	2	 	2	0	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	1	2	 	1	1	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	 
1	4	51160J	64	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 
1	4	51035Y	16	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	1	 	 	 	 	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 
1	4	51076S	32	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 
1	4	51010W	1	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 
1	4	51045J	17	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 
1	4	51115K	48	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 
1	4	51116L	48	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	2	2	2	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	 
1	4	51117M	48	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 
1	4	51118N	48	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	 	 	 	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	 
