wave	rownum	serial	area	screen42	attden	attgen	attlst1	attlst2	attlst3	attscn	attapp	attdis	atttpt	attjny	attpay	attrx1	attrx2	attrx3	timfin
1	5	51001L	1	2	3	3	5	1	09	1	2	5	2	1	1	2	 	 	1545
1	5	51002M	1	1	 	4	9	 	 	2	 	 	 	 	 	1	06	2	1335
1	5	51003N	1	2	3	3	8	1	09	2	 	 	 	 	 	1	09	2	1110
1	5	51005Q	1	2	3	3	6	1	09	2	 	 	 	 	 	1	09	2	1035
1	5	51006R	1	1	 	3	6	1	09	2	 	 	 	 	 	3	 	 	1155
1	5	51007S	1	1	 	2	2	1	0608	1	2	2	2	1	3	3	 	 	1000
1	5	51008T	1	2	3	3	0	 	 	2	 	 	 	 	 	3	 	 	1055
1	5	51009V	1	1	 	3	6	1	0609	2	 	 	 	 	 	3	 	 	1440
1	5	51010W	1	1	 	3	4	1	01	1	2	2	1	1	1	1	01	2	1055
1	5	51013Z	8	2	3	1	2	2	 	1	2	5	3	1	3	1	08	2	1535
1	5	51014A	8	1	 	4	8	2	 	2	 	 	 	 	 	2	 	 	1436
1	5	51015B	8	2	3	3	2	1	08	1	2	4	3	1	3	2	 	 	1616
1	5	51016C	8	2	1	4	7	1	04	2	 	 	 	 	 	2	 	 	1151
1	5	51017D	8	2	3	4	6	1	08	2	 	 	 	 	 	2	 	 	1058
1	5	51018E	8	2	3	3	1	1	0709	1	2	1	1	1	3	1	08	1	1244
1	5	51020G	9	2	3	3	6	1	08	2	 	 	 	 	 	1	08	2	1150
1	5	51021H	9	2	3	4	0	 	 	2	 	 	 	 	 	2	 	 	1415
1	5	51023K	9	1	 	2	4	2	 	1	2	1	8	1	1	2	 	 	1100
1	5	51024L	9	2	3	3	3	1	09	1	2	0	 	 	1	2	 	 	1507
1	5	51025M	9	2	4	3	7	1	07	2	 	 	 	 	 	1	07	2	1215
1	5	51026N	9	1	 	3	5	1	0306	1	2	1	1	1	3	1	07	2	1535
1	5	51027P	9	1	 	3	6	1	09	2	 	 	 	 	 	1	01	2	1625
1	5	51028Q	9	2	1	2	1	1	09	1	2	0	 	 	1	2	 	 	1035
1	5	51029R	16	1	 	4	7	1	0504	2	 	 	 	 	 	2	 	 	1335
1	5	51030S	16	1	 	1	2	2	 	1	2	1	4	1	1	2	 	 	1025
1	5	51031T	16	2	3	4	8	1	09	2	 	 	 	 	 	2	 	 	1120
1	5	51034X	16	1	 	1	1	2	 	1	2	2	4	2	3	2	 	 	1715
1	5	51035Y	16	1	 	 	1	2	 	1	2	1	1	1	3	1	05	1	1545
1	5	51036Z	16	1	 	1	2	2	 	1	2	0	 	 	1	3	 	 	1615
1	5	51037A	16	1	 	3	5	1	03	1	2	2	1	1	3	2	 	 	1440
1	5	51038B	16	2	8	3	2	1	07	1	2	1	3	1	1	2	 	 	1120
1	5	51039C	16	2	2	3	7	1	02	2	 	 	 	 	 	2	 	 	1225
1	5	51040D	17	2	1	3	6	1	0709	2	 	 	 	 	 	2	 	 	1507
1	5	51041E	17	2	3	3	1	1	08	1	2	5	4	1	1	2	 	 	1515
1	5	51042F	17	1	 	2	1	2	 	1	2	3	2	1	3	2	 	 	940
1	5	51043G	17	2	3	3	5	1	0306	1	2	3	4	2	1	2	 	 	1250
1	5	51044H	17	2	3	3	6	1	0709	2	 	 	 	 	 	2	 	 	1240
1	5	51045J	17	1	 	1	1	2	 	1	2	3	2	2	1	2	 	 	1620
1	5	51046K	17	1	 	3	6	1	0509	2	 	 	 	 	 	1	0306	2	940
1	5	51047L	17	1	 	3	7	1	08	2	 	 	 	 	 	1	0108	2	1115
1	5	51049N	17	2	3	3	4	1	070609	1	2	3	4	1	1	2	 	 	1600
1	5	51050P	17	1	 	1	1	2	 	1	2	4	4	1	1	2	 	 	1130
1	5	51051Q	24	2	3	3	7	1	09	2	 	 	 	 	 	1	09	2	1505
1	5	51052R	24	1	 	4	4	2	 	1	2	6	6	3	3	1	0506	2	1505
1	5	51053S	24	2	2	4	6	1	0709	2	 	 	 	 	 	2	 	 	1032
1	5	51054T	24	2	4	4	6	1	0809	2	 	 	 	 	 	2	 	 	1155
1	5	51055V	24	1	 	4	6	1	08	2	 	 	 	 	 	1	0906	2	1305
1	5	51056W	24	1	 	4	6	1	06	2	 	 	 	 	 	1	0608	2	1142
1	5	51057X	24	1	 	1	1	2	 	1	2	1	1	1	3	3	 	 	1116
1	5	51058Y	25	1	 	1	2	2	 	1	1	2	2	1	3	1	01	2	1140
1	5	51059Z	25	1	 	1	1	1	04	1	2	2	3	1	3	2	 	 	1615
1	5	51060A	25	1	 	3	6	2	 	2	 	 	 	 	 	1	04	2	1115
1	5	51061B	25	1	 	4	7	1	0306	2	 	 	 	 	 	1	01	2	1431
1	5	51062C	25	2	3	4	8	2	 	2	 	 	 	 	 	2	 	 	1520
1	5	51064E	25	1	 	3	1	1	05	1	1	3	6	1	3	1	0609	1	1020
1	5	51065F	25	1	 	1	2	2	 	1	2	3	2	1	3	2	 	 	1015
1	5	51066G	25	1	 	1	1	1	02	1	2	1	1	1	3	2	 	 	1525
1	5	51067H	25	2	3	3	6	1	0506	2	 	 	 	 	 	1	08	2	1350
1	5	51068J	25	1	 	1	1	2	 	1	2	3	3	2	3	2	 	 	1055
1	5	51070L	32	1	 	3	1	1	05	1	2	2	3	1	3	2	 	 	1550
1	5	51071M	32	2	3	4	8	1	09	2	 	 	 	 	 	1	0709	2	1015
1	5	51072N	32	1	 	1	1	1	04	1	2	1	1	2	3	2	 	 	1615
1	5	51073P	32	1	 	1	1	2	 	1	2	2	1	1	3	2	 	 	1203
1	5	51074Q	32	2	3	4	7	2	 	2	 	 	 	 	 	2	 	 	912
1	5	51075R	32	1	 	1	1	2	 	1	2	2	1	1	3	2	 	 	1715
1	5	51076S	32	1	 	1	1	1	040204	1	2	1	2	1	3	2	 	 	1330
1	5	51077T	32	2	3	4	6	1	09	2	 	 	 	 	 	2	 	 	1100
